assembly,cell_line,task,samples_number,features_number,total_positives,total_negatives
hg38,A549,active_enhancers_vs_inactive_enhancers,63285,48,3603,59682
hg38,A549,active_promoters_vs_inactive_promoters,99881,48,10302,89579
hg38,A549,active_enhancers_vs_active_promoters,13905,48,10302,3603
hg38,A549,inactive_enhancers_vs_inactive_promoters,149261,48,89579,59682
hg38,A549,active_vs_inactive,163166,48,13905,149261
hg38,GM12878,active_enhancers_vs_inactive_enhancers,63285,152,11589,51696
hg38,GM12878,active_promoters_vs_inactive_promoters,99881,152,14036,85845
hg38,GM12878,active_enhancers_vs_active_promoters,25625,152,14036,11589
hg38,GM12878,inactive_enhancers_vs_inactive_promoters,137541,152,85845,51696
hg38,GM12878,active_vs_inactive,163166,152,25625,137541
hg38,H1,active_enhancers_vs_inactive_enhancers,63285,58,3038,60247
hg38,H1,active_promoters_vs_inactive_promoters,99881,58,13329,86552
hg38,H1,active_enhancers_vs_active_promoters,16367,58,13329,3038
hg38,H1,inactive_enhancers_vs_inactive_promoters,146799,58,86552,60247
hg38,H1,active_vs_inactive,163166,58,16367,146799
hg38,HEK293,active_enhancers_vs_inactive_enhancers,63285,196,6644,56641
hg38,HEK293,active_promoters_vs_inactive_promoters,99881,196,13138,86743
hg38,HEK293,active_enhancers_vs_active_promoters,19782,196,13138,6644
hg38,HEK293,inactive_enhancers_vs_inactive_promoters,143384,196,86743,56641
hg38,HEK293,active_vs_inactive,163166,196,19782,143384
hg38,HepG2,active_enhancers_vs_inactive_enhancers,63285,562,7177,56108
hg38,HepG2,active_promoters_vs_inactive_promoters,99881,562,14092,85789
hg38,HepG2,active_enhancers_vs_active_promoters,21269,562,14092,7177
hg38,HepG2,inactive_enhancers_vs_inactive_promoters,141897,562,85789,56108
hg38,HepG2,active_vs_inactive,163166,562,21269,141897
hg38,K562,active_enhancers_vs_inactive_enhancers,63285,429,5524,57761
hg38,K562,active_promoters_vs_inactive_promoters,99881,429,12524,87357
hg38,K562,active_enhancers_vs_active_promoters,18048,429,12524,5524
hg38,K562,inactive_enhancers_vs_inactive_promoters,145118,429,87357,57761
hg38,K562,active_vs_inactive,163166,429,18048,145118
hg38,MCF-7,active_enhancers_vs_inactive_enhancers,63285,117,4911,58374
hg38,MCF-7,active_promoters_vs_inactive_promoters,99881,117,12709,87172
hg38,MCF-7,active_enhancers_vs_active_promoters,17620,117,12709,4911
hg38,MCF-7,inactive_enhancers_vs_inactive_promoters,145546,117,87172,58374
hg38,MCF-7,active_vs_inactive,163166,117,17620,145546
